Delete,UniqueSubjNum,SubjNum,ExpName,Cat,Condition,SDtoday,FRtoday,Time,Time2,Date,DayofWeek,Month,NumSubs,SameGeNder,SameGenWhat,CellPhone,Internet,PaidPool,Late,SignUp,Age,Gender,NativeLang,SecondLang,AdditionalLang,SecondProficiency,Bilingual,AcademicYear,ExamLastWeek,ExamnextWeek,BusyDay,ClassBefore,ClassAfter,FirstExp,OtherExps,LastMealWhen,LastMealWhat,Breakfast,BreakfastWhat,Alcohol,DrinksPerWeek,CoffeeTea,Exercise,ExerciseFreq,SleepAvg,SleepLastNight,Tired,ExpDifficulty,GiveUp,MostlyGuess,1_Block,2_Block,3_Block,4_Block,Total
0,252,220,Executive Function Timing,RD,Control,1,0,14.5,2Early Afternoon,2002-12-04,1_Mon,04_Apr,4,0,NA,0,0,Pool,3,1,18,Male,Arabic,English,NA,4,1,1,0,0,0,1,0,0,2,3,Sandwich,1,egg,0,0,1,1,2,6,7,4,1,1,0,0.6625,0.7,0.7625,0.7375,0.7156
0,271,37,Executive Function Timing 2,II,Control,0,1,14,2Early Afternoon,2004-12-06,1_Mon,05_May,3,0,NA,0,0,Paid,0,1,21,Male,Arabic,English,NA,3,1,2,1,0,0,0,0,0,1,1,salad,1,cereal with Milk,0,0,1,0,1,8,6,5,4,0,0,0.65,0.6625,0.7375,0.65,0.675
0,422,93,Verbal Over Strategy,RD,Control,1,0,15.5,2Early Afternoon,2019-12-01,4_Thu,01_Jan,1,0,NA,0,0,Pool,0,1,18,Male,Arabic,English,NA,4,1,1,0,0,0,1,0,0,2,0.5,Health Shake ,0,NA,1,3,1,1,4,7,6,5,4,1,0,0.75,0.75,0.6875,0.65,0.7094
0,427,105,Verbal Over Strategy,RD,Control,1,0,12.5,1Morning,1931-12-01,2_Tue,01_Jan,1,0,NA,0,0,Pool,0,1,18,Male,Arabic,English,NA,4,1,1,0,1,1,1,1,0,4,1,Chicken Sandwich,1,Cereal and Milk,1,NA,0,1,NA,7,7,7,4,1,0,0.575,0.6875,0.8625,0.8875,0.7531
0,485,50,WCST Exec Fcn,II,IIFirst,1,1,17,3LateAfternoon,2029-11-09,4_Thu,09_Sep,3,0,NA,0,0,Pool,0,1,16,Female,Arabic,English,NA,4,1,-1,0,0,1,0,1,0,3,5,"Fruit, cereal",1,"Fruit, cereal",0,0,1,1,3.5,6.5,7,4.5,NA,NA,NA,0.5875,0.675,0.7375,0.85,0.7125
0,497,62,WCST Exec Fcn,II,IIFirst,1,1,13,2Early Afternoon,2003-11-10,1_Mon,10_Oct,3,1,F,0,0,Pool,0,1,17,Female,Arabic,English,NA,NA,1,1,0,0,1,1,0,0,3,6,Marble cheese sandwich,1,Marble cheese sandwich,0,0,1,1,1,6.5,6,4,NA,NA,NA,0.6,0.65,0.7125,0.7,0.6656
0,227,132,Executive Function Timing,RD,Control,1,0,17,3LateAfternoon,2012-12-02,1_Mon,03_Mar,1,NA,NA,0,0,Pool,0,1,42,Male,Bengali,English,NA,4,1,1,1,0,1,0,1,0,5,5.5,2 sandwiches,1,Yogurt and cereal,1,1,1,1,4,6,6,2,2,0,0,0.55,0.8625,0.925,0.8875,0.8063
0,180,197,Executive Function Battery,II,IIFirst,0,1,14,2Early Afternoon,2010-12-12,2_Tue,11_Nov,NA,NA,NA,NA,NA,Pool,0,1,19,Female,Bosnian,English,NA,4,1,2,1,0,1,1,1,0,3,12,Pita,0,NA,0,0,0,0,0,5,2,5,2,0,1,0.5625,0.4375,0.5625,0.5375,0.525
0,258,264,Executive Function Timing,RD,Control,1,0,18,3LateAfternoon,2004-12-04,3_Wed,04_Apr,4,0,NA,0,0,Pool,0,1,18,Male,Bosnian,English,NA,3,1,1,0,0,0,0,0,0,5,2,"A delicious Harvey's burger with pickles, tomatoes, lettuce, banana peppers and chipotle sauce",0,I don't eat breakfast,0,0,1,1,3,12,14,2,2,0,0,0.675,0.9125,0.8375,0.575,0.75
0,36,41,Executive Function Battery,II,RDFirst,0,1,11,1Morning,2020-12-04,5_Fri,04_Apr,NA,NA,NA,NA,NA,Pool,0,1,18,Female,Cantonese,English,NA,3,1,1,1,1,1,0,0,0,3,NA,subway Sandwich,1,egg sasuage bread with butter,1,3,1,1,1,7,8,1,2,0,0,0.65,0.8,0.8375,0.7,0.7469
